"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4 p)
"합계","소계","소계",합계,소계,계,1531212,1290332,1656729,1525174,1208052,1224244,1042774,932840,575319,505011,421606,353963,291336,481202,452744,471927,399086
"합계","소계","소계",합계,소계,면세점,1297490,1051987,1410967,1247495,972384,974415,795824,681168,363520,300602,211727,152997,111187,281235,271525,280391,239885
"합계","소계","소계",합계,소계,면세점 이외,233722,238345,245762,277679,235668,249829,246950,251672,211799,204409,209879,200966,180149,199967,181219,191536,159201
"합계","소계","소계",컴퓨터 및 주변기기,소계,계,4142,3814,7722,3589,4274,4622,3805,3174,2943,3288,2944,3195,4044,3205,4260,3769,2729
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점,113,0,3497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,4029,3814,4225,3589,4274,4622,3805,3174,2943,3288,2944,3195,4044,3205,4260,3769,2729
"합계","소계","소계",가전·전자·통신기기,소계,계,12866,14052,14965,13136,10929,17682,13503,9246,48922,5594,6059,5258,5223,8717,6149,6788,6661
"합계","소계","소계",가전·전자·통신기기,소계,면세점,4999,5108,4777,5538,4171,10737,6695,4933,45424,2195,1316,781,334,1949,1569,2032,2673
"합계","소계","소계",가전·전자·통신기기,소계,면세점 이외,7867,8944,10188,7598,6758,6945,6808,4313,3498,3399,4743,4477,4889,6768,4580,4756,3988
"합계","소계","소계",가전·전자·통신기기,가전·전자,계,-,-,-,-,-,-,-,-,-,-,-,-,4004,5150,5508,6316,5844
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점,-,-,-,-,-,-,-,-,-,-,-,-,326,1804,1298,1842,2495
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,3678,3346,4210,4474,3349
"합계","소계","소계",가전·전자·통신기기,통신기기,계,-,-,-,-,-,-,-,-,-,-,-,-,1219,3567,641,472,817
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점,-,-,-,-,-,-,-,-,-,-,-,-,8,145,271,190,178
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,1211,3422,370,282,639
"합계","소계","소계",소프트웨어,소계,계,183,230,258,400,214,226,2381,583,88,50,2755,268,430,48,55,238,83
"합계","소계","소계",소프트웨어,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",소프트웨어,소계,면세점 이외,183,230,258,400,214,226,2381,583,88,50,2755,268,430,48,55,238,83
"합계","소계","소계",서 적,소계,계,6730,6760,6775,7121,9215,7570,7469,7946,6063,7311,6626,3082,3431,2868,3176,5520,2718
"합계","소계","소계",서 적,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",서 적,소계,면세점 이외,6730,6760,6775,7121,9215,7570,7469,7946,6063,7311,6626,3082,3431,2868,3176,5520,2718
"합계","소계","소계",사무·문구,소계,계,1622,1461,1407,1357,3153,1696,3104,1463,2056,3472,1484,3022,1514,1122,1633,3451,1639
"합계","소계","소계",사무·문구,소계,면세점,0,0,1,0,0,0,72,16,1,0,2,63,45,31,58,72,141
"합계","소계","소계",사무·문구,소계,면세점 이외,1622,1461,1406,1357,3153,1696,3032,1447,2055,3472,1482,2959,1469,1091,1575,3379,1498
"합계","소계","소계",음반·비디오·악기,소계,계,33208,45802,57462,77371,45260,49347,39862,42839,33575,50316,44571,39711,35039,60196,43216,43294,18091
"합계","소계","소계",음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",음반·비디오·악기,소계,면세점 이외,33208,45802,57462,77371,45260,49347,39862,42839,33575,50316,44571,39711,35039,60196,43216,43294,18091
"합계","소계","소계",의류 및 패션 관련 상품,소계,계,88543,90629,87230,100095,82098,90524,89863,102758,73950,64783,60268,76530,54227,63588,63104,77582,77136
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점,26073,1058,3026,8033,6190,4854,9182,7883,2497,2876,2279,3757,3268,13393,15526,17498,21762
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,62470,91687,84204,92062,75908,85670,80681,94875,71453,61907,57989,72773,50959,50195,47578,60084,55374
"합계","소계","소계",스포츠·레저용품,소계,계,4136,5294,5239,6382,4112,3641,4823,3663,2939,2008,2728,3968,2882,1870,2562,2501,1807
"합계","소계","소계",스포츠·레저용품,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7
"합계","소계","소계",스포츠·레저용품,소계,면세점 이외,4136,5294,5239,6382,4112,3641,4823,3663,2939,2008,2728,3968,2882,1867,2559,2498,1800
"합계","소계","소계",화장품,소계,계,1314819,1083409,1437689,1272709,999351,996421,827389,716649,362555,332023,243485,184917,150216,305078,296210,292494,247133
"합계","소계","소계",화장품,소계,면세점,1262739,1046875,1399059,1233379,960980,956964,779433,667209,315133,294407,206560,146743,105717,263499,251704,255135,206966
"합계","소계","소계",화장품,소계,면세점 이외,52080,36534,38630,39330,38371,39457,47956,49440,47422,37616,36925,38174,44499,41579,44506,37359,40167
"합계","소계","소계",아동·유아용품,소계,계,4257,4277,4868,4975,5484,5350,5710,4320,3086,3698,2807,2591,1970,2192,2158,1911,1957
"합계","소계","소계",아동·유아용품,소계,면세점,32,1,1,0,0,0,0,27,0,1,0,2,7,12,34,29,41
"합계","소계","소계",아동·유아용품,소계,면세점 이외,4225,4278,4869,4975,5484,5350,5710,4293,3086,3697,2807,2589,1963,2180,2124,1882,1916
"합계","소계","소계",음·식료품,소계,계,15454,3534,3132,3581,6151,7538,6133,7659,6227,6991,6535,5619,7573,6980,6606,10062,12638
"합계","소계","소계",음·식료품,소계,면세점,3444,1066,607,545,1043,1858,442,1100,464,1123,1570,1647,1810,2329,2543,5549,8233
